"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Azerbaijan","AZE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.745","3.494","8.719","12.2","13.928","15.557","17.359","18.944","20.64","22.121","22.092","21.591","18.943","18.199","15.277","14.621","13.33","13.613","13.616","14.555","14.415","13.896","13.33","13.287","13.208","13.224","12.917","12.717","12.406","17.404","14.28","13.398",
"Burundi","BDI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.915","3.958","4.03","4.003","4.037","4.036","3.972","3.91","3.954","3.948","3.922","3.904","3.957","3.913","3.954","3.926","3.071","2.144","2.221","2.303","2.413","2.542","2.707","2.926","2.673","2.343","2.018","1.688","1.354","1.723","1.658","1.554",
"Belgium","BEL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.954","13.204","18.453","21.896","21.552","20.49","21.284","20.402","22.6","15.252","15.345","15.652","18.969","17.494","21.471","20.505","18.825","17.975","21.935","22.391","18.733","19.743","23.704","23.202","22.12","20.095","19.277","15.767","14.265","15.329","18.208","16.266",
"Benin","BEN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.706","1.686","1.585","1.52","1.417","1.34","1.249","1.171","1.081","0.994","0.91","0.827","0.984","1.132","1.298","1.444","1.592","1.766","1.959","2.141","5.461","5.209","4.948","4.75","4.618","4.369","4.107","3.867","3.89","4.47","4.325","4.179",
"Burkina Faso","BFA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.307","4.385","4.296","4.277","4.165","4.043","4.054","3.994","4.088","4.262","4.296","4.433","4.493","5.547","6.473","5.912","5.344","5.547","5.829","5.97","6.24","6.482","6.735","7.005","7.222","7.387","7.587","7.781","7.811","8.607","8.504","8.469",
"Bangladesh","BGD","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.58","5.809","5.934","6.055","6.258","6.408","7.175","7.995","8.774","9.645","8.787","7.723","6.607","7.705","8.807","7.281","8.174","8.953","9.66","6.373","7.549","8.718","9.881","10.268","10.666","11.051","12.219","12.293","12.366","14.383","13.772","12.928",
"Bulgaria","BGR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.176","30.394","32.55","25.466","22.182","25.051","28.119","24.768","29.005","33.242","39.056","35.59","27.017","24.455","22.332","19.511","15.141","12.766","16.226","21.942","25.055","28.127","28.409","23.796","21.669","17.234","12.932","12.685","8.897","14.205","15.847","12.227",
"Bahrain","BHR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.302","4.333","4.136","4.311","4.172","4.132","4.137","4.121","4.179","4.246","4.405","4.514","4.49","4.347","4.243","4.257","4.338","4.552","4.824","4.96","5.258","5.402","5.471","5.49","5.488","5.57","5.702","5.867","5.991","7.774","7.15","6.629",
"Bahamas, The","BHS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.739","27.085","23.151","25.246","20.979","24.129","22.581","15.882","15.66","15.4","15.025","20.151","24.424","21.626","20.214","16.408","19.023","17.155","26.255","26.688","27.287","30.74","34.847","29.238","25.001","25.944","21.561","24.25","24.434","29.898","27.21","23.854",
"Bosnia and Herzegovina","BIH","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.201","34.987","37.262","39.96","41.91","43.565","45.091","46.791","48.176","50.361","51.52","53.666","55.561","57.859","59.776","62.1","58.359","47.581","48.94","57.942","58.055","63.486","59.808","63.373","63.15","55.099","46.518","39.453","34.102","36.892","35.332","33.469",
"Belarus","BLR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.229","6.368","17.271","25.916","35.5","47.834","32.998","27.013","24.742","23.475","22.002","20.623","19.351","18.2","16.773","15.486","14.147","12.932","11.383","11.531","11.401","11.237","11.146","11.079","10.837","10.759","9.37","10.661","10.212","12.031","10.447","11.222",
"Belize","BLZ","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.837","18.886","18.948","21.377","24.057","26.62","24.969","28.254","25.669","21.921","18.364","20.205","20.731","21.426","22.078","19.04","17.22","16.577","16.698","16.71","16.786","16.848","16.941","18.289","16.507","16.591","15.736","18.055","20.424","24","22.738","21.805",
"Bermuda","BMU","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.271","5.468","5.283","5.238","4.641","4.066","3.462","3.656","4.057","4.183","4.433","4.602","4.799","4.927","5.121","5.186","5.446","5.578","5.218","5.189","5.121","3.37","5.371","4.608","6.806","6.761","6.637","6.753","6.976","15.376","8.451","7.629",
"Brazil","BRA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.64","11.772","11.363","12.151","13.202","14.555","16.557","19.183","20.579","19.758","19.986","20.538","21.298","19.944","21.296","19.792","18.69","17.432","19.64","17.463","16.783","15.776","15.643","15.45","19.454","26.697","28.661","28.028","27.181","30.498","28.496","21.359",
"Barbados","BRB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.08","41.903","43.64","41.862","37.907","27.941","30.139","24.368","22.359","20.793","22.966","22.93","25.846","22.483","21.124","20.312","17.211","18.877","23.572","25.251","26.797","28.711","28.998","32.808","28.65","26.124","26.033","24.046","25.516","29.562","27.62","24.486",
"Brunei Darussalam","BRN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.703","13.195","13.451","13.889","14.243","14.461","14.547","14.784","15.115","15.336","15.585","16.001","16.391","16.784","17.33","18.116","18.629","19.285","20.092","21.143","22.095","22.82","23.546","24.397","26.258","27.812","29.652","31.453","21.513","27.129","24.265","23.887",
"Bhutan","BTN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.481","4.511","4.455","4.464","4.464","4.4","4.348","4.303","4.247","4.86","5.596","5.484","5.302","7.361","9.263","9.439","11.197","11.612","12.43","8.788","8.914","6.984","9.39","9.023","10.114","11.629","13.104","14.681","11.06","21.216","15.469","14.67",
"Botswana","BWA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.153","28.928","32.634","36.274","36.241","36.348","37.036","38.141","34.876","31.834","38.843","42.837","46.766","41.596","36.551","31.709","31.736","31.806","32.158","34.845","35.105","35.29","35.201","35.447","35.723","35.36","35.398","35.339","35.285","41.654","38.596","37.847",
"Central African Republic","CAF","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.13","10.314","10.414","10.45","10.427","10.464","10.49","10.383","10.308","10.175","10.234","10.229","10.215","10.067","10.016","9.881","9.825","9.686","9.832","10.383","10.119","10.013","9.96","10.081","10.267","10.234","10.237","10.002","10.068","11.205","10.989","10.9",
"Canada","CAN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.854","17.229","17.199","15.92","14.851","15.42","16.269","15.156","14.06","12.685","12.879","13.625","13.631","13.471","12.416","11.665","11.207","11.616","15.339","14.925","14.277","14.457","13.753","13.499","13.208","13.111","11.606","11.078","10.985","20.113","13.53","10.007",
"Central Europe and the Baltics","CEB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.3210430132729","22.795928379491","25.4578933682282","25.3048490224438","24.0169491707133","22.8739406097681","19.931322368812","19.4365579773608","23.7615938411218","27.0259728819996","28.8951741717932","30.0707478779136","29.1697721928763","29.2077983094427","27.2437683251921","23.8023574576773","18.7082064925946","16.723763523484","21.6071502161502","24.4724052628807","25.5903422044392","26.2553240053343","26.6633646552339","23.6242448455559","20.7341222453033","17.7026464763653","14.9921181012507","12.6924775135243","11.6366578974143","13.6089464015948","14.8680654082536","12.8262540729459",
"Switzerland","CHE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.278","4.535","5.837","5.564","4.645","4.645","5.995","5.774","5.648","4.815","5.629","5.579","8.51","7.719","8.77","7.694","7.08","7.014","8.45","8.224","7.732","8.318","8.753","8.605","8.822","8.581","8.062","7.927","7.986","8.603","8.828","7.368",
"Channel Islands","CHI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.419","12.751","15.48","16.057","16.314","16.423","15.644","14.046","13.441","11.522","11.362","11.902","13.296","14.045","13.98","13.011","12.07","12.573","17.07","17.927","18.86","21.35","22.535","21.665","20.061","18.598","16.854","14.968","14.728","16.925","15.916","14.792",
"Chile","CHL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.875","10.245","10.519","12.815","10.842","17.838","17.557","17.833","25.302","24.687","24.505","24.946","24.69","24.483","23.37","22.066","21.612","23.738","26.693","19.09","17.943","16.76","16.669","17.027","16.085","16.009","17.139","18.036","19.529","24.756","20.561","17.247",
"China","CHN","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.366","4.434","5.121","5.626","5.924","6.262","6.567","6.668","6.764","6.835","7.986","8.907","9.609","9.417","9.481","9.319","9.215","9.795","10.144","9.82","9.982","10.168","10.338","10.535","10.714","10.612","10.474","9.714","10.73","12.688","12.437","13.165",
"Cote d'Ivoire","CIV","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.121","10.193","8.859","7.53","6.163","6.102","6.033","6.049","6.398","6.732","7.071","7.394","7.727","7.921","8.239","8.495","8.793","9.006","9.283","9.485","9.918","9.951","6.272","4.882","3.477","2.036","5.172","4.56","3.949","4.544","4.451","4.195",
"Cameroon","CMR","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.196","12.299","12.558","12.434","12.552","12.66","12.407","12.164","11.936","11.721","11.468","10.233","8.991","7.752","6.613","5.572","4.554","5.135","5.717","6.307","6.271","6.231","6.205","6.177","6.236","6.308","6.379","6.432","6.495","7.261","7.128","6.995",
"Congo, Dem. Rep.","COD","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.409","5.383","5.363","5.27","5.211","5.186","5.177","5.115","5.087","5.056","4.978","4.899","4.834","4.778","4.732","5.253","5.768","6.294","6.852","7.355","7.897","8.444","8.427","8.418","8.444","8.486","8.479","8.468","8.494","9.871","9.424","9.29",
"Congo, Rep.","COG","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.482","36.701","37.028","37.402","37.428","37.669","38.044","38.178","38.575","38.555","38.893","39.143","39.512","39.701","39.848","39.803","40.153","39.766","39.601","39.655","39.788","39.527","39.758","39.504","39.704","39.817","39.552","39.465","39.24","42.8","41.415","40.767",
"Colombia","COL","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.161","18.083","14.934","15.721","16.396","21.863","22.471","27.509","36.242","37.565","27.415","28.253","26.279","26.209","23.652","22.044","20.702","21.58","22.474","21.856","20.495","19.307","18.233","17.659","16.695","17.586","17.879","18.618","20.046","25.926","24.801","21.608",
"Comoros","COM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.709","10.399","10.435","10.523","10.312","10.34","10.193","10.186","10.138","9.962","10.065","10.02","9.968","9.926","10.799","11.697","12.638","13.479","14.411","15.316","16.231","17.182","18.075","19.083","19.06","18.932","18.889","18.899","18.967","21.253","20.411","20.273",
"Cabo Verde","CPV","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.186","19.153","19.27","19.189","19.317","19.416","19.492","19.561","19.687","19.828","20.263","20.487","20.788","20.994","21.349","21.638","21.825","22.265","22.704","22.969","23.901","24.999","26.118","27.302","28.543","29.8","31.25","27.104","27.649","32.924","30.615","30.191",
"Costa Rica","CRI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.147","7.672","8.304","8.28","11.711","12.259","11.895","11.926","13.675","11.285","13.666","14.502","14.915","14.483","15.278","14.136","11.124","11.043","18.082","17.397","22.061","22.395","21.595","24.28","22.427","21.561","20.804","25.126","31.282","40.16","39.27","31.89",
"Caribbean small states","CSS","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.96443238313","25.5551614697753","24.6538988496881","23.9662093561147","23.3051760098117","22.6007862294519","22.534272455381","21.9970046935706","21.9547068499079","21.0722691083845","20.4065204373991","20.4573111166438","20.6801522143409","19.3918492930561","19.0054222333205","17.6879581346297","17.259040846953","17.0739429168728","18.7172122158306","19.0322171513487","19.520669152422","21.3438292993818","23.2433794557783","22.4985185599618","21.6354105075814","22.5601570037947","21.0011994701472","19.6403727500222","18.9571111200141","22.9439956167659","21.8239640460949","18.8335761598593",
"Cuba","CUB","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.041","17.248","17.455","17.558","17.983","16.774","15.687","13.788","13.913","12.105","9.064","7.282","5.062","4.087","4.319","4.191","3.91","3.36","3.497","6.035","7.775","8.601","8.26","6.805","6.203","5.201","4.531","4.535","3.245","3.553","3.646","3.474",
"Curacao","CUW","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.587","4.541","5.849","5.69","5.396","6.21","6.72","6.499","11.191","9.794","7.825","7.309","8.492","8.3","12.956","9.49","9.413","8.438","13.054","15.732","21.168","26.868","37.93","35.466","32.349","28.735","24.558","20.114","16.497","18.109","17.089","18.691",
"Czechia","CZE","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.68","5.087","8.418","8.691","7.775","7.184","6.933","10.764","16.496","16.909","16.244","15.322","16.693","19.821","19.204","17.484","10.748","9.86","16.656","18.362","18.062","19.515","18.966","15.852","12.596","10.497","7.945","6.714","5.615","7.946","8.166","7.079",
"Germany","DEU","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.513","5.971","7.671","8.963","8.466","9.633","10.667","9.79","8.876","8.547","7.787","9.283","11.024","12.988","15.535","13.76","11.911","10.553","11.212","9.821","8.506","8.031","7.811","7.733","7.212","7.032","6.758","6.184","5.77","7.132","6.898","5.753",
"Djibouti","DJI","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.387","52.54","53.325","53.616","54.112","54.679","55.019","55.392","55.856","56.746","57.378","58.164","59.16","60.214","61.213","62.467","63.787","65.09","66.627","67.796","68.59","69.629","70.508","71.297","72.208","73.052","74.036","73.893","73.91","78.778","77.034","77.194",
"Dominica","DMA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.502","12.333","14.608","10.185","9.916","10.587","8.095","7.173","9.89","6.732","8.215","7.023","9.804","7.771","8.596","7.671","7.489","9.456","13.431","15.56","16.304","15.769","14.76","14.201","12.151","12.153","12.392","10.513","10.047","11.591","10.814","8.782",
"Dominican Republic","DOM","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.858","11.779","11.926","12.063","12.082","12.152","12.191","12.304","12.38","12.453","13.507","12.757","13.476","12.932","13.555","10.802","12.382","10.576","12.515","10.83","14.006","14.857","17.418","13.363","16.467","16.766","13.462","14.881","15.578","14.807","16.906","16.173",
"Algeria","DZA","Unemployment, youth total (% of total labor force ages 15-24) (modeled ILO estimate)","SL.UEM.1524.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.883","39.167","42.189","44.819","51.835","46.613","41.845","44.338","47.524","50.547","46.868","45.975","43.755","34.025","31.16","24.308","27.803","24.272","21.617","21.909","22.61","27.7","25.56","25.4","30.258","26.168","26.61","26.924","27.187","31.113","29.341","29.026",
